EXP,AGUA,FORMAMIDA,BROMO,dG
1,33.54,38.79,38.36,33.99
2,31.67,39.72,48.8,36.27
3,38.5,21.99,40.2,6.57
4,36.69,39.27,44.64,27.89
5,39.94,34.24,46.85,14.98
6,25.45,22,38.69,24.26
7,28.51,22.83,44.18,20.50
8,26.31,25.38,45.6,25.23
9,20.5,23.41,38.51,31.10
10,29.06,38.3,38.95,40.75
11,25.53,36.82,42.94,42.40
12,88.02,78.04,30.96,-73.76
13,33.54,38.79,22.46,35.95
14,31.67,39.72,21.81,41.35
15,38.5,21.99,23.54,5.75
16,36.69,39.27,28.72,29.95
17,39.94,34.24,26.27,15.69
18,25.45,22,23.12,25.66
19,28.51,22.83,19.15,22.34
20,26.31,25.38,25.58,27.88
21,20.5,23.41,19.32,33.49
22,29.06,38.3,27.35,42.91
23,25.53,36.82,32.17,45.08
24,61.91,53.58,27.32,-11.78
25,73.2,36.3,31.62,-46.84
26,16.5,26.6,48.3,35.62
27,12.1,23.7,21.57,41.46
28,22.4,41.9,44.03,56.58
29,16.53,22.3,52.07,29.91
30,17.68,16.23,42.73,26.92
31,23.2,16.77,44.47,21.97
32,26.47,65.53,20.07,-2.58
33,24.8,56.83,18.72,9.75
