run,t,w,p,c,tr,te,cot,exp,red
1,1,1,1,-1,4.92,1.87,4.35,5.81,4.87
2,1,1,-1,-1,5.01,2.2,4.43,5.63,5.26
3,1,-1,1,1,5.27,2.28,3.64,5.94,6.01
4,-1,1,-1,1,4.13,2.45,2.79,5.4,5.33
5,1,-1,-1,1,5.6,2.53,4.67,5.22,5.97
6,-1,-1,1,-1,4.69,2.38,4.72,5.71,5.87
7,-1,1,1,1,4.1,2.82,6.13,5.96,5.96
8,-1,-1,-1,-1,4.69,2.49,6.3,5.51,6.03
9,0,0,0,0,6.02,3.6,5.83,6.12,6.01
10,-2,0,0,0,4.69,1.69,5.02,5.17,5.5
11,2,0,0,0,4.89,3.19,5.39,5.84,6.42
12,0,-2,0,0,5.24,2.67,4.13,5.07,5.79
13,0,2,0,0,5.92,2.86,4.29,5.28,5.64
14,0,0,-2,0,4.7,3.32,5.3,5.59,5.99
15,0,0,2,0,4.98,2.9,5.05,6.32,6.02
16,0,0,0,-2,3.34,1.83,3.26,5.79,4.34
17,0,0,0,2,4.19,2.52,5.39,5.89,5.58
18,0,0,0,0,5.71,4.04,6.17,6.3,6.29
19,0,0,0,0,5.37,3.96,6.3,6.01,5.92
100,1,1,-1,1,5.44,2.73,5.58,6.31,6.43
101,-1,1,1,-1,4.74,1.7,4.02,5.6,5.43
102,1,-1,1,-1,4.1,1.43,3.83,5.82,5.12
103,2,1,-2,2,4.72,2.23,4.3,5.66,5.19
